Id,Nom,Score
19,MIZER,2394
19,MIZER,0
19,MIZER,276
19,MIZER,1192
19,MIZER,199
19,MIZER,1835
19,MIZER,0
19,MIZER,529
19,MIZER,2156
19,MIZER,782
19,MIZER,869
19,MIZER,864
19,MIZER,157
19,MIZER,157
19,MIZER,3787
19,MIZER,999
19,MIZER,191
19,MIZER,325
19,MIZER,638
19,MIZER,199
19,MIZER,278
19,MIZER,311
19,MIZER,385
19,MIZER,248
19,MIZER,269
19,MIZER,220
19,MIZER,1425
19,MIZER,318
19,MIZER,765
19,MIZER,1329
19,MIZER,814
19,MIZER,1240
19,MIZER,0
19,MIZER,0
19,MIZER,2054
19,MIZER,801
19,MIZER,0
19,MIZER,2213
19,MIZER,1759
19,ELYO,2173
19,ELYO,1652
19,ELYO,708
19,ELYO,1758
19,ELYO,74
19,ELYO,1317
19,ELYO,3404
19,ELYO,2982
19,ELYO,2261
19,ELYO,295
19,ELYO,924
